DATOS;MARCA;MODELO;PRODUCTO;MOTOR;CILINDRADA;LITROS_A_USAR;LITROS_A_COMPRAR;CALCULO_4L;CANTIDAD_ENVASES_4LT;CALCULO_1LT;CANTIDAD_ENVASES_1LT;LITROS_REMANENTES;PRECIO_4LT;PRECIO_1LT;PRECIO_TOTAL_4LT;PRECIO_TOTAL_1LT;PRECIO_TOTAL
Chrysler Grand Cherokee -   (Naftero);Chrysler;Grand Cherokee;Consultar Manual;Naftero;;9,5;10;2,5;2;0,5;2;0,5;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Chrysler Grand Cherokee -DPF -   (Diesel);Chrysler;Grand Cherokee -DPF;Consultar Manual;Diesel;;9,5;10;2,5;2;0,5;2;0,5;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Chrysler Jeep Wrangler -   (Diesel);Chrysler;Jeep Wrangler;Elaion SUV;Diesel;;7,0;7;1,75;1;0,75;3;0;$ 682,00;$ 174,00;$ 682,00;$ 522,00;$ 1.204,00
Chrysler Jeep Wrangler -   (Naftero);Chrysler;Jeep Wrangler;Elaion SUV;Naftero;;7,0;7;1,75;1;0,75;3;0;$ 682,00;$ 174,00;$ 682,00;$ 522,00;$ 1.204,00
Chrysler Jeep Wrangler -DPF -   (Diesel);Chrysler;Jeep Wrangler -DPF;Consultar manual;Diesel;;7,0;7;1,75;1;0,75;3;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Chrysler Patriot -   (Naftero);Chrysler;Patriot;Elaion SUV;Naftero;;4,3;5;1,25;1;0,25;1;0,7;$ 682,00;$ 174,00;$ 682,00;$ 174,00;$ 856,00
Chrysler PT Cruiser -   (Diesel);Chrysler;PT Cruiser;Elaion F50;Diesel;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Chrysler PT Cruiser -   (Naftero);Chrysler;PT Cruiser;Elaion F50;Naftero;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Citroen Berlingo -   (Diesel);Citroen;Berlingo;Elaion F50;Diesel;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Citroen Berlingo -   (Naftero);Citroen;Berlingo;Elaion F50;Naftero;;3,4;4;1;1;0;0;0,6;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Citroen C3 -   (Diesel);Citroen;C3;Elaion F50;Diesel;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Citroen C3 -   (Naftero);Citroen;C3;Elaion F50;Naftero;;3,2;4;1;1;0;0;0,8;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Citroen C4 -   (Diesel);Citroen;C4;Elaion F50;Diesel;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Citroen C4 -   (Naftero);Citroen;C4;Elaion F50;Naftero;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Citroen C4 Grand Picasso -   (Diesel);Citroen;C4 Grand Picasso;Elaion F30;Diesel;;0,0;0;0;0;0;0;0;$ 452,00;$ 117,00;$ 0,00;$ 0,00;$ 0,00
Citroen C4 Grand Picasso - 138cv  (Diesel);Citroen;C4 Grand Picasso;Elaion F30;Diesel;138cv;5,3;6;1,5;1;0,5;2;0,75;$ 452,00;$ 117,00;$ 452,00;$ 234,00;$ 686,00
Citroen C4 Grand Picasso - 5.0  (Naftero);Citroen;C4 Grand Picasso;Elaion F30;Naftero;5.0;0,0;0;0;0;0;0;0;$ 452,00;$ 117,00;$ 0,00;$ 0,00;$ 0,00
Citroen C4 Picasso -   (Diesel);Citroen;C4 Picasso;Elaion F50;Diesel;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Citroen C4 Picasso - 110cv  (Diesel);Citroen;C4 Picasso;Elaion F50;Diesel;110cv;3,8;4;1;1;0;0;0,25;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Citroen C4 Picasso - 5.0  (Naftero);Citroen;C4 Picasso;Elaion F50;Naftero;5.0;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Citroen C5 -   (Diesel);Citroen;C5;Elaion F50;Diesel;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Citroen C5 - 5.0  (Naftero);Citroen;C5;Elaion F50;Naftero;5.0;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Citroen C6 -   (Diesel);Citroen;C6;Elaion F50;Diesel;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Citroen C6 -   (Naftero);Citroen;C6;Elaion F50;Naftero;;5,3;6;1,5;1;0,5;2;0,7;$ 625,00;$ 163,00;$ 625,00;$ 326,00;$ 951,00
Citroen Jumper -   (Diesel);Citroen;Jumper;Elaion F50;Diesel;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Citroen Jumper -   (Naftero);Citroen;Jumper;Elaion F50;Naftero;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Citroen Xsara Picasso -   (Naftero);Citroen;Xsara Picasso;Elaion F50;Naftero;;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Ferrari 599 GTB  -   (Naftero);Ferrari;599 GTB ;Consultar manual;Naftero;;0,0;0;0;0;0;0;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Ferrari California -   (Naftero);Ferrari;California;Elaion F50;Naftero;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Ferrari F 430 -   (Naftero);Ferrari;F 430;Elaion F50;Naftero;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Ferrari Fiorano -   (Naftero);Ferrari;Fiorano;Consultar manual;Naftero;;0,0;0;0;0;0;0;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Fiat 500 - 1.2  (Naftero);Fiat;500;Elaion F50;Naftero;1.2;2,8;3;0,75;0;0,75;3;0,2;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Fiat 500 - 1.3  (Diesel);Fiat;500;Consultar manual;Diesel;1.3;3,0;3;0,75;0;0,75;3;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Fiat 500 - 1.4  (Naftero);Fiat;500;Elaion F50;Naftero;1.4;2,9;3;0,75;0;0,75;3;0,1;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Fiat Ducato -   (Diesel);Fiat;Ducato;Elaion Torque;Diesel;;4,3;5;1,25;1;0,25;1;0,7;$ 407,00;$ 105,00;$ 407,00;$ 105,00;$ 512,00
Fiat Fiorino -   (Diesel);Fiat;Fiorino;Elaion F50;Diesel;;4,9;5;1,25;1;0,25;1;0,1;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Fiat Fiorino -   (Naftero);Fiat;Fiorino;Elaion F50;Naftero;;2,7;3;0,75;0;0,75;3;0,3;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Fiat Idea - 1.4  (Naftero);Fiat;Idea;Elaion F50;Naftero;1.4;2,9;3;0,75;0;0,75;3;0,1;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Fiat Idea - 1.8  (Naftero);Fiat;Idea;Elaion F50;Naftero;1.8;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Fiat Idea Adventure -   (Naftero);Fiat;Idea Adventure;Elaion F50;Naftero;;2,7;3;0,75;0;0,75;3;0,3;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Fiat Linea -   (Naftero);Fiat;Linea;Elaion F30;Naftero;;4,3;5;1,25;1;0,25;1;0,7;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Fiat Palio - 1.3  (Diesel);Fiat;Palio;Elaion F50;Diesel;1.3;2,8;3;0,75;0;0,75;3;0,2;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Fiat Palio - 1.4  (Naftero);Fiat;Palio;Elaion F50;Naftero;1.4;2,7;3;0,75;0;0,75;3;0,3;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Fiat Palio - 1.8  (Naftero);Fiat;Palio;Elaion F50;Naftero;1.8;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Fiat Palio Fire -   (Naftero);Fiat;Palio Fire;Elaion F50;Naftero;;2,7;3;0,75;0;0,75;3;0,3;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Fiat Palio Weekend - 1.3  (Diesel);Fiat;Palio Weekend;Elaion F50;Diesel;1.3;2,8;3;0,75;0;0,75;3;0,2;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Fiat Palio Weekend - 1.4  (Naftero);Fiat;Palio Weekend;Elaion F50;Naftero;1.4;2,7;3;0,75;0;0,75;3;0,3;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Fiat Palio Weekend - 1.8  (Naftero);Fiat;Palio Weekend;Elaion F50;Naftero;1.8;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Fiat Punto - 1.3  (Diesel);Fiat;Punto;Elaion F50;Diesel;1.3;2,7;3;0,75;0;0,75;3;0,3;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Fiat Punto - 1.4  (Naftero);Fiat;Punto;Elaion F50E;Naftero;1.4;2,7;3;0,75;0;0,75;3;0,3;$ 609,00;$ 156,00;$ 0,00;$ 468,00;$ 468,00
Fiat Punto - 1.8  (Naftero);Fiat;Punto;Elaion F50;Naftero;1.8;3,2;4;1;1;0;0;0,8;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Fiat Siena - 1.3  (Diesel);Fiat;Siena;Elaion F50;Diesel;1.3;2,8;3;0,75;0;0,75;3;0,2;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Fiat Siena - 1.4  (Naftero);Fiat;Siena;Elaion F50;Naftero;1.4;2,7;3;0,75;0;0,75;3;0,3;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Fiat Siena - 1.8  (Naftero);Fiat;Siena;Elaion F50;Naftero;1.8;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Fiat Siena Fire -   (Naftero);Fiat;Siena Fire;Elaion F50;Naftero;;2,7;3;0,75;0;0,75;3;0,3;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Fiat Stilo -   (Naftero);Fiat;Stilo;Elaion F50;Naftero;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Fiat Strada - 1.3  (Diesel);Fiat;Strada;Elaion F50;Diesel;1.3;2,8;3;0,75;0;0,75;3;0,2;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Fiat Strada - 1.4  (Naftero);Fiat;Strada;Elaion F50;Naftero;1.4;2,7;3;0,75;0;0,75;3;0,3;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Fiat Strada - 1.8  (Naftero);Fiat;Strada;Elaion F50;Naftero;1.8;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Fiat Uno -   (Diesel);Fiat;Uno;Elaion F50;Diesel;;4,1;5;1,25;1;0,25;1;0,9;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Fiat Uno -   (Naftero);Fiat;Uno;Elaion F50;Naftero;;2,7;3;0,75;0;0,75;3;0,3;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Ford Courier - 1.6  (Naftero);Ford;Courier;Elaion F50E;Naftero;1.6;4,2;5;1,25;1;0,25;1;0,8;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Ford Courier - 1.8  (Diesel);Ford;Courier;Elaion F50E;Diesel;1.8;4,5;5;1,25;1;0,25;1;0,5;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Ford EcoSport - 1.4  (Diesel);Ford;EcoSport;Elaion F50E;Diesel;1.4;3,8;4;1;1;0;0;0,2;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Ford EcoSport - 1.6  (Naftero);Ford;EcoSport;Elaion F50E;Naftero;1.6;4,1;5;1,25;1;0,25;1;0,9;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Ford EcoSport - 2.0  (Naftero);Ford;EcoSport;Elaion F50E;Naftero;2.0;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Ford F 100 120CV - 3.9  (Diesel);Ford;F 100 120CV;Elaion Torque;Diesel;3.9;10,5;11;2,75;2;0,75;3;0,5;$ 407,00;$ 105,00;$ 814,00;$ 315,00;$ 1.129,00
Ford F 100 200CV - 3.9  (Diesel);Ford;F 100 200CV;Elaion Torque;Diesel;3.9;9,0;9;2,25;2;0,25;1;0;$ 407,00;$ 105,00;$ 814,00;$ 105,00;$ 919,00
Ford Fiesta - 1.4  (Diesel);Ford;Fiesta;Elaion F50E;Diesel;1.4;3,8;4;1;1;0;0;0,2;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Ford Fiesta - 1.6  (Naftero);Ford;Fiesta;Elaion F50E;Naftero;1.6;4,1;5;1,25;1;0,25;1;0,9;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Ford Focus One - 1.6  (Naftero);Ford;Focus One;Elaion F50E;Naftero;1.6;4,1;5;1,25;1;0,25;1;0,9;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Ford Ka - 1.0  (Naftero);Ford;Ka;Elaion F50E;Naftero;1.0;4,1;5;1,25;1;0,25;1;0,9;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Ford Ka - 1.6  (Diesel);Ford;Ka;Elaion F50E;Diesel;1.6;4,1;5;1,25;1;0,25;1;0,9;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Ford Kuga - 2.5  (Naftero);Ford;Kuga;Elaion F50E;Naftero;2.5;5,5;6;1,5;1;0,5;2;0,5;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Ford Mondeo - 2.0  (Diesel);Ford;Mondeo;Elaion F50E;Diesel;2.0;5,5;6;1,5;1;0,5;2;0,5;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Ford Mondeo - 2.3  (Naftero);Ford;Mondeo;Elaion F50E;Naftero;2.3;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Ford Mondeo - 2.5  (Naftero);Ford;Mondeo;Elaion F50E;Naftero;2.5;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Ford New Focus - 1.6  (Naftero);Ford;New Focus;Elaion F50E;Naftero;1.6;4,1;5;1,25;1;0,25;1;0,9;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Ford New Focus - 1.8  (Diesel);Ford;New Focus;Elaion F50E;Diesel;1.8;5,6;6;1,5;1;0,5;2;0,4;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Ford New Focus - 2.0  (Naftero);Ford;New Focus;Elaion F50E;Naftero;2.0;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Ford Ranger - 2.2D  (Naftero);Ford;Ranger;Elaion F50E;Naftero;2.2D;8,6;9;2,25;2;0,25;1;0,4;$ 609,00;$ 156,00;$ 1.218,00;$ 156,00;$ 1.374,00
Ford Ranger - 2.3  (Naftero);Ford;Ranger;Elaion F50E;Naftero;2.3;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Ford Ranger - 2.5N  (Naftero);Ford;Ranger;Elaion F50E;Naftero;2.5N;6,7;7;1,75;1;0,75;3;0,3;$ 609,00;$ 156,00;$ 609,00;$ 468,00;$ 1.077,00
Ford Ranger - 3.0  (Diesel);Ford;Ranger;Elaion F50E;Diesel;3.0;9,0;9;2,25;2;0,25;1;0;$ 609,00;$ 156,00;$ 1.218,00;$ 156,00;$ 1.374,00
Ford Ranger - 3.2D  (Naftero);Ford;Ranger;Elaion F50E;Naftero;3.2D;9,8;10;2,5;2;0,5;2;0,25;$ 609,00;$ 156,00;$ 1.218,00;$ 312,00;$ 1.530,00
Ford Smax - 1.8  (Diesel);Ford;Smax;Elaion F50E;Diesel;1.8;5,6;6;1,5;1;0,5;2;0,4;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Ford Smax - 2.3  (Naftero);Ford;Smax;Elaion F50E;Naftero;2.3;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Honda Accord -   (Naftero);Honda;Accord;Elaion F30;Naftero;;4,2;5;1,25;1;0,25;1;0,8;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Honda Accord - 2.0  (N/E);Honda;Accord;Elaion F50E;N/E;2.0;3,7;4;1;1;0;0;0,3;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Honda Accord - 2.4  (N/E);Honda;Accord;Elaion F50;N/E;2.4;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Honda City -   (Naftero);Honda;City;Elaion F50E;Naftero;;4,2;5;1,25;1;0,25;1;0,8;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Honda Civic -   (Naftero);Honda;Civic;Elaion F50E;Naftero;;3,4;4;1;1;0;0;0,6;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Honda CRV - 2.0  (N/E);Honda;CRV;Elaion SUV;N/E;2.0;4,5;5;1,25;1;0,25;1;0,5;$ 682,00;$ 174,00;$ 682,00;$ 174,00;$ 856,00
Honda CRV - 2.4  (N/E);Honda;CRV;Elaion SUV;N/E;2.4;5,3;6;1,5;1;0,5;2;0,7;$ 682,00;$ 174,00;$ 682,00;$ 348,00;$ 1.030,00
Honda Fit -   (Naftero);Honda;Fit;Elaion F50E;Naftero;;3,6;4;1;1;0;0;0,4;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Honda Pilot -   (Naftero);Honda;Pilot;Elaion SUV;Naftero;;5,0;5;1,25;1;0,25;1;0;$ 682,00;$ 174,00;$ 682,00;$ 174,00;$ 856,00
Hyundai Genesis -   (Naftero);Hyundai;Genesis;Elaion F50;Naftero;;5,2;6;1,5;1;0,5;2;0,8;$ 625,00;$ 163,00;$ 625,00;$ 326,00;$ 951,00
Hyundai H-1 -   (Diesel);Hyundai;H-1;Elaion F50;Diesel;;7,4;8;2;2;0;0;0,6;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Hyundai H-100 -   (Diesel);Hyundai;H-100;Elaion F50;Diesel;;7,4;8;2;2;0;0;0,6;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Hyundai HD 78 -   (Diesel);Hyundai;HD 78;Elaion F50;Diesel;;7,4;8;2;2;0;0;0,6;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Hyundai i10 -   (Naftero);Hyundai;i10;Elaion F50E;Naftero;;3,6;4;1;1;0;0;0,4;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Hyundai i30 -   (Naftero);Hyundai;i30;Elaion F50E;Naftero;;3,3;4;1;1;0;0;0,7;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Hyundai Santa Fe -   (Diesel);Hyundai;Santa Fe;Elaion SUV;Diesel;;5,9;6;1,5;1;0,5;2;0,1;$ 682,00;$ 174,00;$ 682,00;$ 348,00;$ 1.030,00
Hyundai Santa Fe -   (Naftero);Hyundai;Santa Fe;Elaion F50E;Naftero;;4,6;5;1,25;1;0,25;1;0,4;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Hyundai Terracan -   (Diesel);Hyundai;Terracan;Elaion SUV;Diesel;;5,9;6;1,5;1;0,5;2;0,1;$ 682,00;$ 174,00;$ 682,00;$ 348,00;$ 1.030,00
Hyundai Terracan -   (Naftero);Hyundai;Terracan;Elaion F50E;Naftero;;4,4;5;1,25;1;0,25;1;0,6;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Hyundai Trajet -   (Diesel);Hyundai;Trajet;Elaion Torque;Diesel;;5,9;6;1,5;1;0,5;2;0,1;$ 407,00;$ 105,00;$ 407,00;$ 210,00;$ 617,00
Hyundai Trajet -   (Naftero);Hyundai;Trajet;Elaion F50E;Naftero;;4,5;5;1,25;1;0,25;1;0,5;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Hyundai Tucson -   (Diesel);Hyundai;Tucson;Elaion SUV;Diesel;;5,9;6;1,5;1;0,5;2;0,1;$ 682,00;$ 174,00;$ 682,00;$ 348,00;$ 1.030,00
Hyundai Tucson -   (Naftero);Hyundai;Tucson;Elaion F50E;Naftero;;4,1;5;1,25;1;0,25;1;0,9;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Hyundai Veracruz -   (Diesel);Hyundai;Veracruz;Elaion SUV;Diesel;;5,9;6;1,5;1;0,5;2;0,1;$ 682,00;$ 174,00;$ 682,00;$ 348,00;$ 1.030,00
Hyundai Veracruz -   (Naftero);Hyundai;Veracruz;Elaion SUV;Naftero;;5,2;6;1,5;1;0,5;2;0,8;$ 682,00;$ 174,00;$ 682,00;$ 348,00;$ 1.030,00
Hyundai Veracruz -DPF -   (Diesel);Hyundai;Veracruz -DPF;Elaion SUV;Diesel;;7,2;8;2;2;0;0;0,8;$ 682,00;$ 174,00;$ 1.364,00;$ 0,00;$ 1.364,00
Jaguar XF -   (Diesel);Jaguar;XF;Consultar manual;Diesel;;5,4;6;1,5;1;0,5;2;0,6;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Jaguar XF - V6  (Naftero);Jaguar;XF;Elaion F50E;Naftero;V6;0,0;0;0;0;0;0;0;$ 609,00;$ 156,00;$ 0,00;$ 0,00;$ 0,00
Jaguar XF - V8  (Naftero);Jaguar;XF;Consultar manual;Naftero;V8;0,0;0;0;0;0;0;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Jaguar XK -   (Naftero);Jaguar;XK;Consultar manual;Naftero;;0,0;0;0;0;0;0;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Kia Carnival -   (Naftero);Kia;Carnival;Elaion F50;Naftero;;5,8;6;1,5;1;0,5;2;0,2;$ 625,00;$ 163,00;$ 625,00;$ 326,00;$ 951,00
Kia Cerato - 1.6  (Naftero);Kia;Cerato;Elaion F50;Naftero;1.6;4,2;5;1,25;1;0,25;1;0,8;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Kia Cerato - 2.0  (Naftero);Kia;Cerato;Elaion F50;Naftero;2.0;3,3;4;1;1;0;0;0,7;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Kia K2500 -   (Diesel);Kia;K2500;Elaion Torque;Diesel;;5,7;6;1,5;1;0,5;2;0,3;$ 407,00;$ 105,00;$ 407,00;$ 210,00;$ 617,00
Kia K2700 -   (Diesel);Kia;K2700;Elaion Torque;Diesel;;5,7;6;1,5;1;0,5;2;0,3;$ 407,00;$ 105,00;$ 407,00;$ 210,00;$ 617,00
Kia Picanto -   (Naftero);Kia;Picanto;Elaion F50;Naftero;;3,6;4;1;1;0;0;0,4;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Kia Rondo -   (Diesel);Kia;Rondo;Elaion F50;Diesel;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Kia Sorento -   (Diesel);Kia;Sorento;Elaion SUV;Diesel;;6,7;7;1,75;1;0,75;3;0,3;$ 682,00;$ 174,00;$ 682,00;$ 522,00;$ 1.204,00
Kia Sorento -   (Naftero);Kia;Sorento;Elaion SUV;Naftero;;4,6;5;1,25;1;0,25;1;0,4;$ 682,00;$ 174,00;$ 682,00;$ 174,00;$ 856,00
Kia Sportage -   (Naftero);Kia;Sportage;Elaion SUV;Naftero;;4,1;5;1,25;1;0,25;1;0,9;$ 682,00;$ 174,00;$ 682,00;$ 174,00;$ 856,00
Land Rover Defender -   (Diesel);Land Rover;Defender;Elaion F50E;Diesel;;7,0;7;1,75;1;0,75;3;0;$ 609,00;$ 156,00;$ 609,00;$ 468,00;$ 1.077,00
Land Rover Defender -   (Naftero);Land Rover;Defender;Elaion F50E;Naftero;;7,0;7;1,75;1;0,75;3;0;$ 609,00;$ 156,00;$ 609,00;$ 468,00;$ 1.077,00
Land Rover Discovery 4 -   (Diesel);Land Rover;Discovery 4;Consultar manual;Diesel;;5,7;6;1,5;1;0,5;2;0,3;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Land Rover Discovery 4 - V6  (Naftero);Land Rover;Discovery 4;Consultar manual;Naftero;V6;5,2;6;1,5;1;0,5;2;0,8;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Land Rover Discovery 4 - V8  (Naftero);Land Rover;Discovery 4;Consultar manual;Naftero;V8;8,0;8;2;2;0;0;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
